iter	MultiClass
0	1.002741496
1	0.8613749488
2	0.7893341834
3	0.7483505876
4	0.7252723086
5	0.7120405568
6	0.703983722
7	0.6991815423
8	0.6959473801
9	0.6942054345
10	0.6929374589
11	0.6922601796
12	0.6918393824
13	0.6916209286
14	0.691409656
15	0.6912740173
16	0.6911028923
17	0.6906445443
18	0.6901728919
19	0.6899317738
20	0.6896465349
21	0.6887648378
22	0.6882423624
23	0.6878732566
24	0.6874120131
25	0.6871716071
26	0.6865968781
27	0.6863941645
28	0.6859495968
29	0.6857560117
30	0.685564281
31	0.6854217229
32	0.6851648515
33	0.6845034731
34	0.6840774003
35	0.6838382124
36	0.6836565902
37	0.6830852973
38	0.6827385826
39	0.6825502587
40	0.6821603193
41	0.6818866521
42	0.6815342831
43	0.6812880161
44	0.6811431609
45	0.6807747087
46	0.6806337485
47	0.6804085696
48	0.6801968214
49	0.6800289521
