iter	Passed	Remaining
0	13	645
1	21	515
2	30	482
3	42	485
4	52	468
5	63	466
6	73	452
7	82	434
8	92	421
9	99	398
10	106	378
11	112	354
12	116	332
13	123	316
14	128	299
15	133	284
16	139	271
17	144	256
18	149	243
19	154	231
20	159	220
21	164	209
22	169	199
23	175	189
24	179	179
25	185	171
26	191	163
27	196	154
28	204	147
29	211	140
30	218	133
31	225	126
32	232	119
33	239	112
34	248	106
35	255	99
36	263	92
37	270	85
38	278	78
39	286	71
40	293	64
41	300	57
42	307	50
43	314	42
44	320	35
45	326	28
46	332	21
47	338	14
48	345	7
49	351	0
